score,episodes,duration,popularity,favorites,scored_by,Cluster,genres,type,rating
7.03,12.0,23.0,1321.0,229.5,37650.25,0,Comedy,PG-13 - Teens 13 or older,PG-13 - Teens 13 or older
7.03,2.0,15.0,6401.0,35.0,4301.0,1,Hentai,Rx - Hentai,Rx - Hentai
7.03,1.0,29.0,6179.0,80.0,5279.0,1,Hentai,Rx - Hentai,Rx - Hentai
7.03,2.0,24.0,5743.0,142.0,6388.0,1,Hentai,Rx - Hentai,Rx - Hentai
7.03,4.0,22.0,6023.0,76.0,5060.0,1,Hentai,Rx - Hentai,Rx - Hentai
7.03,1.0,22.0,6968.0,23.0,3993.0,1,Hentai,Rx - Hentai,Rx - Hentai
7.03,12.0,24.0,2258.0,194.0,37650.25,0,Comedy,PG-13 - Teens 13 or older,PG-13 - Teens 13 or older
7.03,5.0,3.0,2902.000000000001,37.0,33043.0,0,Ecchi,R+ - Mild Nudity,R+ - Mild Nudity
7.03,12.0,24.0,3049.0,73.0,27148.0,0,Comedy,PG-13 - Teens 13 or older,PG-13 - Teens 13 or older
7.03,12.0,24.0,1644.0,229.5,37650.25,0,Action,PG-13 - Teens 13 or older,PG-13 - Teens 13 or older
7.03,12.0,24.0,2131.0,229.5,35611.0,0,Avant Garde,R - 17+ (violence & profanity),R - 17+ (violence & profanity)
7.03,13.0,23.0,3120.0,86.0,19471.0,2,Comedy,PG-13 - Teens 13 or older,PG-13 - Teens 13 or older
7.03,12.0,2.0,2495.0,117.0,37650.25,0,Comedy,PG-13 - Teens 13 or older,PG-13 - Teens 13 or older
7.03,1.0,2.0,7165.0,5.0,1752.0,1,Action,R - 17+ (violence & profanity),R - 17+ (violence & profanity)
7.03,15.0,19.0,3777.0,113.0,14924.0,2,Comedy,PG-13 - Teens 13 or older,PG-13 - Teens 13 or older
7.03,1.0,44.0,6986.0,38.0,2916.0,1,Action,R - 17+ (violence & profanity),R - 17+ (violence & profanity)
7.03,13.0,24.0,2124.0,196.0,37650.25,0,Comedy,R - 17+ (violence & profanity),R - 17+ (violence & profanity)
7.03,12.0,10.0,3155.0,51.0,26908.0,0,Comedy,PG-13 - Teens 13 or older,PG-13 - Teens 13 or older
7.03,1.0,1.0,5941.0,15.0,4515.0,1,Comedy,PG-13 - Teens 13 or older,PG-13 - Teens 13 or older
7.03,1.0,21.0,6736.0,18.0,2244.0,1,Comedy,G - All Ages,G - All Ages
7.03,1.0,5.0,8334.0,7.0,2634.0,1,unknown,PG-13 - Teens 13 or older,PG-13 - Teens 13 or older
7.03,25.0,23.0,6620.0,34.0,3932.0,1,Action,R+ - Mild Nudity,R+ - Mild Nudity
